city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Ballplay,Ballplay,AL,Alabama,01055,Etowah,34.0179,-85.7852,1149,18.8,shape,FALSE,FALSE,America/Chicago,3,35903 36272,1840022887
Bowmans Addition,Bowmans Addition,MD,Maryland,24001,Allegany,39.6863,-78.7551,1149,396.2,shape,FALSE,FALSE,America/New_York,3,21502,1840031477
Marion,Marion,MT,Montana,30029,Flathead,48.0858,-114.6711,1149,26.3,shape,FALSE,FALSE,America/Denver,3,59925 59920,1840023740
Cave Spring,Cave Spring,GA,Georgia,13115,Floyd,34.1081,-85.3388,1148,120.9,shape,FALSE,TRUE,America/New_York,3,30124,1840014680
Forreston,Forreston,IL,Illinois,17141,Ogle,42.1273,-89.5784,1148,469.8,shape,FALSE,TRUE,America/Chicago,3,61030,1840011236
Frederic,Frederic,WI,Wisconsin,55095,Polk,45.6548,-92.4646,1148,262.1,shape,FALSE,TRUE,America/Chicago,3,54837,1840002048
Tower Lakes,Tower Lakes,IL,Illinois,17097,Lake,42.2315,-88.1537,1148,482.3,shape,FALSE,FALSE,America/Chicago,3,60010,1840029830
New Sharon,New Sharon,IA,Iowa,19123,Mahaska,41.4701,-92.651,1147,471.4,shape,FALSE,TRUE,America/Chicago,3,50207,1840008224
Pelion,Pelion,SC,South Carolina,45063,Lexington,33.775,-81.2502,1147,120.3,shape,FALSE,TRUE,America/New_York,3,29123,1840016730
Elgin,Elgin,MN,Minnesota,27157,Wabasha,44.1258,-92.2478,1147,476.8,shape,FALSE,TRUE,America/Chicago,3,55932,1840007898
Ruby,Ruby,NY,New York,36111,Ulster,42.0125,-74.0103,1147,260.5,shape,FALSE,FALSE,America/New_York,3,12475 12449,1840085171
Americus,Americus,KS,Kansas,20111,Lyon,38.5066,-96.2615,1147,408.9,shape,FALSE,TRUE,America/Chicago,3,66835,1840007470
Coleman,Coleman,MI,Michigan,26111,Midland,43.7588,-84.5869,1147,355.1,shape,FALSE,TRUE,America/Detroit,3,48618,1840002661
Hotchkiss,Hotchkiss,CO,Colorado,08029,Delta,38.799,-107.7133,1147,477.8,shape,FALSE,TRUE,America/Denver,3,81419,1840021466
Columbus,Columbus,NM,New Mexico,35029,Luna,31.8271,-107.6422,1147,94.9,shape,FALSE,TRUE,America/Denver,3,88029,1840023048
Grant,Grant,MI,Michigan,26123,Newaygo,43.3348,-85.8094,1146,658.8,shape,FALSE,TRUE,America/Detroit,3,49327,1840002681
Sand Point,Sand Point,AK,Alaska,02013,Aleutians East,55.3227,-160.4834,1146,55.2,shape,FALSE,TRUE,America/Anchorage,3,99661,1840023269
Fort Clark Springs,Fort Clark Springs,TX,Texas,48271,Kinney,29.2937,-100.4244,1146,148.9,shape,FALSE,FALSE,America/Chicago,3,78832,1840026041
Elm Creek,Elm Creek,NE,Nebraska,31019,Buffalo,40.7201,-99.3755,1146,636.3,shape,FALSE,TRUE,America/Chicago,3,68836,1840011831
Van Buren,Van Buren,MO,Missouri,29035,Carter,37.0082,-91.0113,1146,221.3,shape,FALSE,TRUE,America/Chicago,3,63965,1840010884
Dellwood,Dellwood,MN,Minnesota,27163,Washington,45.0985,-92.9672,1145,166,shape,FALSE,TRUE,America/Chicago,3,55110,1840006740
Blue Summit,Blue Summit,MO,Missouri,29095,Jackson,39.087,-94.4808,1145,907.1,shape,FALSE,FALSE,America/Chicago,3,64126,1840142444
Monroeville,Monroeville,IN,Indiana,18003,Allen,40.9735,-84.8675,1145,564.1,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46773,1840009323
Blue River,Blue River,CO,Colorado,08117,Summit,39.4362,-106.035,1145,181.6,shape,FALSE,TRUE,America/Denver,3,80424,1840021427
Duncansville,Duncansville,PA,Pennsylvania,42013,Blair,40.4263,-78.4303,1145,830.4,shape,FALSE,TRUE,America/New_York,3,16635,1840001082
Alexandria,Alexandria,TN,Tennessee,47041,DeKalb,36.0791,-86.0382,1145,366.6,shape,FALSE,TRUE,America/Chicago,3,37012,1840015349
Earlston,Earlston,PA,Pennsylvania,42009,Bedford,40.0038,-78.3736,1145,409.3,shape,FALSE,FALSE,America/New_York,3,15537,1840026526
Pecos,Pecos,NM,New Mexico,35047,San Miguel,35.5757,-105.6784,1145,249,shape,FALSE,TRUE,America/Denver,3,87552,1840022717
Mathews,Mathews,VA,Virginia,51115,Mathews,37.4365,-76.3245,1145,222.9,shape,FALSE,FALSE,America/New_York,3,23109,1840026849
Independence,Independence,VA,Virginia,51077,Grayson,36.6254,-81.1511,1144,188.5,shape,FALSE,TRUE,America/New_York,3,24348,1840006562
Maywood Park,Maywood Park,OR,Oregon,41051,Multnomah,45.5524,-122.5617,1144,2318.1,shape,FALSE,TRUE,America/Los_Angeles,2,97220,1840019940
Hydesville,Hydesville,CA,California,06023,Humboldt,40.5579,-124.0822,1144,58.9,shape,FALSE,FALSE,America/Los_Angeles,3,95547 95540,1840017486
Sebastian,Sebastian,TX,Texas,48489,Willacy,26.3454,-97.7964,1144,264.9,shape,FALSE,FALSE,America/Chicago,3,78594,1840019737
Dexter,Dexter,NM,New Mexico,35005,Chaves,33.1954,-104.3687,1144,605.6,shape,FALSE,TRUE,America/Denver,3,88230,1840021933
Fort Lawn,Fort Lawn,SC,South Carolina,45023,Chester,34.7003,-80.8991,1144,318,shape,FALSE,TRUE,America/New_York,3,29714,1840016570
Sturgeon,Sturgeon,MO,Missouri,29019,Boone,39.2344,-92.2824,1143,504.6,shape,FALSE,TRUE,America/Chicago,3,65284,1840009632
Rock Island,Rock Island,WA,Washington,53017,Douglas,47.3733,-120.142,1142,391.2,shape,FALSE,TRUE,America/Los_Angeles,3,98850,1840019796
Morton,Morton,WA,Washington,53041,Lewis,46.5575,-122.2815,1142,536.8,shape,FALSE,TRUE,America/Los_Angeles,3,98356,1840019882
Ashland Heights,Ashland Heights,SD,South Dakota,46103,Pennington,44.1293,-103.1286,1142,151.4,shape,FALSE,FALSE,America/Denver,3,57701 57719,1840004099
Peridot,Peridot,AZ,Arizona,04007,Gila,33.3016,-110.4572,1141,80.7,shape,FALSE,FALSE,America/Phoenix,3,85542,1840019261
Hettinger,Hettinger,ND,North Dakota,38001,Adams,46.0034,-102.635,1141,531.4,shape,FALSE,TRUE,America/Denver,3,58639,1840000243
White Hall,White Hall,WV,West Virginia,54049,Marion,39.424,-80.1889,1141,418.6,shape,FALSE,TRUE,America/New_York,3,26554,1840005738
Port Morris,Port Morris,NJ,New Jersey,34027,Morris,40.9061,-74.6845,1141,1119.7,shape,FALSE,FALSE,America/New_York,4,07850,1840081248
Metcalfe,Metcalfe,MS,Mississippi,28151,Washington,33.4505,-91.0018,1141,439.4,shape,FALSE,TRUE,America/Chicago,3,38760 38703,1840016858
Underwood,Underwood,IN,Indiana,18019,Clark,38.6037,-85.7744,1140,171.2,point,FALSE,FALSE,America/Indiana/Indianapolis,4,47126 47177,1840030035
Adair Village,Adair Village,OR,Oregon,41003,Benton,44.6706,-123.216,1140,990.2,shape,FALSE,TRUE,America/Los_Angeles,3,97330,1840018610
Enhaut,Enhaut,PA,Pennsylvania,42043,Dauphin,40.2324,-76.8253,1140,2462.1,shape,FALSE,FALSE,America/New_York,2,17113,1840034952
Wayland,Wayland,IA,Iowa,19087,Henry,41.1484,-91.6575,1140,413.8,shape,FALSE,TRUE,America/Chicago,3,52654,1840010313
Cacao,Cacao,PR,Puerto Rico,72115,Quebradillas,18.4525,-66.9559,1140,520.9,shape,FALSE,FALSE,America/Puerto_Rico,3,00678,1630023646
Beech Island,Beech Island,SC,South Carolina,45003,Aiken,33.4288,-81.8905,1139,89.4,shape,FALSE,FALSE,America/New_York,3,29842,1840107315
North Lima,North Lima,OH,Ohio,39099,Mahoning,40.9497,-80.6611,1139,64.1,shape,FALSE,FALSE,America/New_York,3,44452,1840034298
McAdenville,McAdenville,NC,North Carolina,37071,Gaston,35.2652,-81.0805,1139,324.4,shape,FALSE,TRUE,America/New_York,3,28101 28098,1840016394
Berlin,Berlin,OH,Ohio,39075,Holmes,40.5545,-81.7998,1139,115.2,shape,FALSE,FALSE,America/New_York,3,44654 44610,1840026481
Innovation,Innovation,VA,Virginia,51153,Prince William,38.7539,-77.5248,1139,152.3,shape,FALSE,FALSE,America/New_York,4,20110 20109,1840153060
Cottonwood,Cottonwood,ID,Idaho,16049,Idaho,46.051,-116.3498,1138,523.5,shape,FALSE,TRUE,America/Los_Angeles,3,83522,1840018483
Maurertown,Maurertown,VA,Virginia,51171,Shenandoah,38.9325,-78.4615,1138,203.2,shape,FALSE,FALSE,America/New_York,3,22644,1840026690
